id,transaction_date,type,category,amount,note,micro_label,micro_probability,risk_label,risk_probability,amount_ratio_vs_category_avg,amount_zscore_vs_category,created_at
5da6c04f-6e1b-400c-b958-4377501c890c,2026-05-31,expense,Tagihan Utilitas,350000.0,wifi,0.0,0.0088,1.0,0.6116,1.513,0.236,2026-05-31T05:56:16.072215
3d2341b4-8e7b-48da-8c38-fa9dc5b08e92,2026-05-31,income,Income,300000.0,uang mingguan,,,,,,,2026-05-31T05:57:54.621665
a9c75ec2-8ea9-4e80-bba4-def990bb263a,2026-05-31,expense,Makanan & Minuman,16000.0,nasgor,1.0,0.9889,0.0,0.0359,0.056,-0.698,2026-05-31T05:58:28.809461
03bfdaac-a73e-429b-81b5-f6cbcde7c2cd,2026-05-28,expense,Kebutuhan Rumah Tangga,182000.0,Belanja sabun harmoni,0.0,0.005,0.0,0.3352,0.402,-0.416,2026-05-31T06:00:59.386105
87c648fc-c63b-4ce6-8442-a145f539f9f2,2026-05-28,expense,Kebutuhan Rumah Tangga,182000.0,Belanja sabun harmoni,0.0,0.005,0.0,0.3352,0.402,-0.416,2026-05-31T06:01:02.885883
1193eb7f-dde1-4271-bcd1-bce8c30e90d0,2026-05-01,income,Income,1500000.0,uang bulanan,,,,,,,2026-05-31T06:26:51.497477
43cc9e45-f306-4807-8fab-34a0e0c9b231,2026-05-15,expense,Tagihan Utilitas,500000.0,listrik,0.0,0.0057,1.0,0.758,1.39,0.232,2026-05-31T06:27:22.049656
2a24f06d-adc8-4455-988e-fc4a550742c6,2026-05-17,expense,Tagihan Utilitas,180000.0,air,0.0,0.0075,0.0,0.4573,0.778,-0.102,2026-05-31T06:27:47.989773
3759e059-40e2-493b-b012-c023b0ce5174,2026-05-17,expense,Kesehatan,105000.0,BPJS,0.0,0.0082,0.0,0.347,0.643,-0.216,2026-05-31T06:28:19.813266
549c5d01-cb53-4817-9dc1-9d1565b39114,2026-05-29,expense,Hobi & Olahraga,20000.0,GYM Harian,0.0,0.0055,0.0,0.3335,0.023,-1.549,2026-05-31T06:28:50.946956
a68adeb0-62d6-4446-8af9-a42dade882cd,2026-05-20,expense,Belanja & Lifestyle,200000.0,beli celana,0.0,0.01,0.0,0.3119,0.572,-0.413,2026-05-31T06:29:18.699439
cc101eec-a09c-4651-93de-98d37266dd1e,2026-05-21,expense,Kopi & Minuman,10000.0,kopi,1.0,0.9865,0.0,0.041,0.09,-1.109,2026-05-31T06:29:54.367591
ecbffc17-4b7e-42b2-9f13-cb99e3ed80d5,2026-05-23,expense,Makanan & Minuman,20000.0,nasi padang,1.0,0.9901,0.0,0.0335,0.07,-0.688,2026-05-31T06:30:16.950090
